year,category ,value
2011,Murder,16
2011,Serious Hurt,406
2011,Rape,150
2011,Outrage Of Modesty,1396
2011,Rioting,172
2011,Robbery,394
2011,Housebreaking,637
2011,Theft Of Motor Vehicle,673
2011,Snatch Theft,349
2011,Cheating Related Offences,3819
2012,Murder,11
2012,Serious Hurt,452
2012,Rape,133
2012,Outrage Of Modesty,1420
2012,Rioting,191
2012,Robbery,290
2012,Housebreaking,545
2012,Theft Of Motor Vehicle,586
2012,Snatch Theft,286
2012,Cheating Related Offences,3419
2013,Murder,16
2013,Serious Hurt,476
2013,Rape,120
2013,Outrage Of Modesty,1325
2013,Rioting,162
2013,Robbery,254
2013,Housebreaking,507
2013,Theft Of Motor Vehicle,404
2013,Snatch Theft,239
2013,Cheating Related Offences,3695
2014,Murder,14
2014,Serious Hurt,513
2014,Rape,164
2014,Outrage Of Modesty,1372
2014,Rioting,168
2014,Robbery,230
2014,Housebreaking,311
2014,Theft Of Motor Vehicle,314
2014,Snatch Theft,165
2014,Cheating Related Offences,5465
2015,Murder,14
2015,Serious Hurt,473
2015,Rape,162
2015,Outrage Of Modesty,1294
2015,Rioting,114
2015,Robbery,123
2015,Housebreaking,250
2015,Theft Of Motor Vehicle,302
2015,Snatch Theft,84
2015,Cheating Related Offences,8242
2016,Murder,18
2016,Serious Hurt,492
2016,Rape,149
2016,Outrage Of Modesty,1282
2016,Rioting,112
2016,Robbery,96
2016,Housebreaking,212
2016,Theft Of Motor Vehicle,165
2016,Snatch Theft,63
2016,Cheating Related Offences,8268
2017,Murder,8
2017,Serious Hurt,420
2017,Rape,185
2017,Outrage Of Modesty,1561
2017,Rioting,103
2017,Robbery,69
2017,Housebreaking,160
2017,Theft Of Motor Vehicle,143
2017,Snatch Theft,49
2017,Cheating Related Offences,8364
2018,Murder,9
2018,Serious Hurt,429
2018,Rape,213
2018,Outrage Of Modesty,1728
2018,Rioting,107
2018,Robbery,72
2018,Housebreaking,204
2018,Theft Of Motor Vehicle,114
2018,Snatch Theft,48
2018,Cheating Related Offences,9193
2019,Murder,11
2019,Serious Hurt,373
2019,Rape,281
2019,Outrage Of Modesty,1605
2019,Rioting,94
2019,Robbery,55
2019,Housebreaking,186
2019,Theft Of Motor Vehicle,85
2019,Snatch Theft,35
2019,Cheating Related Offences,12363
2020,Murder,8
2020,Serious Hurt,445
2020,Rape,348
2020,Outrage Of Modesty,1320
2020,Rioting,59
2020,Robbery,37
2020,Housebreaking,164
2020,Theft Of Motor Vehicle,60
2020,Snatch Theft,18
2020,Cheating Related Offences,16523
